Accountant,Accountant,Accountant
Bacon and Ham-dealer and Factor,"Bacon dealer,Ham dealer,Bacon factor,Ham factor,Dealer in bacon,Dealer in ham","Dealer,Factor"
Baker,Baker,Baker
Ball-maker,"Ball maker,Maker of balls",Maker
Bank Agent,Bank agent,Agent
Banker,Banker,Banker
Bark-dealer,"Bark dealer,Dealer in bark",Dealer
Barometer and Thermometer-maker,"Barometer maker,Thermometer maker,Maker of barometers,Maker of thermometers",Maker
"Barrister, Advocate, and Conveyancer","Barrister,Advocate,Conveyancer","Barrister,Advocate,Conveyancer"
Basket-maker,"Basket maker,Maker of baskets",Maker
Bat-maker,"Bat maker,Maker of bats",Maker
Bath-keeper and Attendant,"Bath keeper,Bath attendant","Keeper,Attendant"
Bath-maker,"Bath maker,Maker of baths",Maker
Bayonet-forger and Maker,"Bayonet forger,Bayonet maker,Maker of bayonets","Forger,Maker"
Bazaar-Keeper,Bazaar keeper,Keeper
Bead-maker,"Bead maker,Maker of beads",Maker
Bed and Mattress-maker,"Bed maker,Mattress maker,Maker of beds,Maker of mattresses",Maker
Bedstead-maker,"Bedstead maker,Maker of bedsteads",Maker
Bee-dealer,"Bee dealer,Dealer in bees",Dealer
Beehive-maker,"Beehive maker,Maker of beehives",Maker
Bell-founder,Bell founder,Founder
Bellows-maker,"Bellows maker,Maker of bellows",Maker
Bill-sticker,Bill sticker,Bill sticker
Billiard-table-keeper and Marker,"Billiard table keeper,Billiard table marker","Keeper,Billiard table marker"
Billiard-table-maker,"Billiard table maker,Maker of billiard tables",Maker
Bit-maker (all branches),"Bit maker,Maker of bits",Maker
Black-lead-manufacture,Black lead manufacturer,Manufacturer
Blacking-maker and dealer,"Blacking maker,Blacking dealer,Maker of Blacking,Dealer in blacking","Maker,Dealer"
Blacksmith,Blacksmith,Smith
Bladder-dealer and Merchant,"Bladder dealer,Bladder merchant,Dealer in bladders","Dealer,Merchant"
Blade-maker and Forger,"Blade maker,Blade forger,Maker of blades","Maker,Forger"
Bleacher (branch not specified),Bleacher,Bleacher
Blind-maker,"Blind maker,Maker of blinds",Maker
Block and Printer-cutter,"Block cutter,Printer cutter",Cutter
"Block, Mast, and Oar-maker","Block maker,Mast maker,Oar maker,Maker of blocks,Maker of masts,Maker of oars",Maker
Blue-manufacturer,Blue manufacturer,Manufacturer
Boat and Barge Owner,"Boat owner,Barge owner",Owner
Boat and Barge-builder,"Boat builder,Barge builder",Builder
Boat and Bargeman and Woman,"Boatman,Bargeman,Boatwoman,Bargewoman","Boatman,Bargeman,Boatwoman,Bargewoman"
Bobbin-maker and Turner,"Bobbin maker,Bobbin turner,Maker of bobbins","Maker,Turner"
Boiler-maker,"Boiler maker,Maker of boilers",Maker
Bolt-maker,"Bolt maker,Maker of bolts",Maker
Bombazine-manufacture,Bombazine manufacturer,Manufacturer
"Bone Merchant, Dealer and Gatherer","Bone merchant,Bone dealer,Bone gatherer,Dealer in bone,Dealer in bones","Merchant,Dealer,Gatherer"
"Bone Turner, Cutter and Worker","Bone turner,Bone cutter,bone worker","Turner,Cutter,Bone worker"
Bone-crusher and Miller,"Bone crusher,Bone miller","Crusher,Miller"
Bonnet-maker,"Bonnet maker,Maker of bonnets",Maker
"Bookseller, Bookbinder, and Publisher","Bookseller,Bookbinder,Publisher","Bookseller,Bookbinder,Publisher"
Boot and Shoe-maker,"Boot maker,Shoe maker,Maker of boots,Maker of shoes",Maker
Botanist,Botanist,Botanist
Bottle-dealer and Merchant,"Bottle dealer,Bottle merchant,Dealer in bottles","Dealer,Merchant"
Bow-string-maker,"Bow string maker,Maker of bow strings",Maker
Brace and Belt-maker,"Brace maker,Belt maker,Maker of braces,Maker of belts",Maker
Braid-maker,"Braid maker,Maker of braids",Maker
Brass-founder and Moulder,"Brass founder,Brass moulder","Founder,Moulder"
"Brazier, Brass-finisher and Worker, and Tinker","Brazier,Brass finisher,Brass worker,Tinker","Brazier,Finisher,Brass worker,Tinker"
Brewer,Brewer,Brewer
Brick and Tile-maker,"Brick maker,Tile maker,Maker of bricks,Maker of brick,Maker of tiles",Maker
Bricklayer,Bricklayer,Bricklayer
Bridge and Canal-contractor,"Bridge contractor,Canal contractor",Contractor
Brimstone-manufacturer,Brimstone manufacturer,Manufacturer
Broker (branch not specified),Broker,Broker
"Broker, Bill",Bill broker,Broker
"Broker, Coach",Coach broker,Broker
"Broker, Furniture",Furniture broker,Broker
"Broker, Machine",Machine broker,Broker
"Broker, Piece",Piece broker,Broker
"Broker, Stock and Share","Stock broker,Share broker",Broker
"Broker, Sugar",Sugar broker,Broker
Bronzer,Bronzer,Bronzer
Brush (Artist's) and Hair-Pencil-maker,"Artist's brush maker,Hair pencil maker,Maker of artist's brushes,Maker of hair pencils",Maker
Brush and Broom-maker,"Brush maker,Broom maker,Maker of brushes,Maker of brooms",Maker
Buckle-maker,"Buckle maker,Maker of buckles",Maker
Buhl-cutter and Worker,"Buhl cutter,Buhl worker","Cutter,Buhl worker"
Builder,Builder,Builder
Building Materials-dealer,"Building materials dealer,Dealer in building materials",Dealer
Bullion-broker and Merchant,"Bullion broker,Bullion merchant","Broker,Merchant"
Burnisher,Burnisher,Burnisher
Butcher,Butcher,Butcher
"Butcher, Pork",Pork butcher,Butcher
Butter-dealer and Merchant,"Butter dealer,Butter merchant,Dealer in butter","Dealer,Merchant"
"Butter-dealer, Merchant, and Factor","Butter dealer,Butter merchant,Butter factor,Dealer in butter","Dealer,Merchant,Factor"
Button-maker (all branches),"Button maker,Maker of buttons",Maker
Cabinet-maker and Upholsterer,"Cabinet maker,Cabinet upholsterer,Maker of cabinets","Maker,Upholsterer"
Cage-maker,"Cage maker,Maker of cages",Maker
Canal Agent,Canal agent,Canal agent
Canal Service,Canal service worker,Canal service worker
Candle and Lamp-wick-maker,"Candle maker,Lamp wick maker,Maker of candles,Maker of lamp wicks",Maker
Candlestick-maker,"Candlestick maker,Maker of candlesticks",Maker
Cane-dresser and Worker,"Cane dresser,Cane worker","Dresser,Cane worker"
Cane-merchant,Cane merchant,Merchant
Canvas-maker and Weaver,"Canvas maker,Canvas weaver,Maker of canvas","Maker,Weaver"
Cap (Metal) maker,"Metal cap maker,Maker of metal caps",Maker
Cap-maker and Dealer,"Cap maker,Cap dealer,Maker of caps,Dealer in caps","Maker,Dealer"
Card (Paper) Maker,"Paper card maker,Maker of paper card,Maker of paper cards",Maker
Card-maker,"Card maker,Maker of card,Maker of cards",Maker
Carpenter and Joiner,"Carpenter,Joiner","Carpenter,Joiner"
Carpet and Rug-manufacture (all branches),"Carpet manufacturer,Rug manufacturer",Manufacturer
Carpet-bag-maker,"Carpet bag maker,Maker of carpet bags",Maker
Carpet-dealer and Warehouseman,"Carpet dealer,Carpet warehouseman,Carpet warehousewoman,Dealer in carpet","Dealer,Warehouseman,Warehousewoman"
"Carrier, Carter, and Waggoner","Carrier,Carter,Waggoner","Carrier,Carter,Waggoner"
Cartridge-maker,"Cartridge maker,Maker of cartridges",Maker
Carver and Gilder,"Carver,Gilder","Carver,Gilder"
Case-maker,"Case maker,Maker of cases",Maker
Castor-maker,"Castor maker,Maker of castor",Maker
Catgut-maker and Gut-blower and Spinner,"Catgut maker,Gut blower,Gut spinner,Maker of catgut","Maker,Gut blower,Spinner"
Cattle and Sheep-dealer and Salesman,"Cattle dealer,Sheep dealer,Cattle salesman,Sheep salesman,Cattle saleswoman,Sheep saleswoman,Dealer in cattle,Dealer in sheep","Dealer,Salesman,Saleswoman"
Cellarman,Cellarman,Cellarman
Cement-grinder and Maker,"Cement grinder,Cement maker,Maker of cement","Grinder,Maker"
Chaff-cutter,Chaff cutter,Cutter
Chain (Curb) maker,"Curb chain maker,Maker of curb chain,Maker of curb chains",Maker
Chair-letter,Chair letter,Chair letter
Chair-maker,"Chair maker,Maker of chairs",Maker
Chandelier-maker,"Chandelier maker,Maker of chandeliers",Maker
Charcoal-burner and Dealer,"Charcoal burner,Charcoal dealer,Dealer in charcoal","Charcoal burner,Dealer"
Charwoman,"Charwoman,Charman","Charwoman,Charman"
Chaser,Chaser,Chaser
"Chaser, Herald","Chaser,Herald","Chaser,Herald"
Cheesemonger and Factor,"Cheesemonger,Cheese factor","Cheesemonger,Factor"
Chemist and Druggist,"Chemist,Druggist","Chemist,Druggist"
"Chemist, Manufacturing",Manufacturing chemist,Chemist
Chimney-sweeper,Chimney sweeper,Chimney sweeper
"China, Earthenware, and Glass-dealer","China dealer,Earthenware dealer,Glass dealer,Dealer in china,Dealer in earthenware,Dealer in glass",Dealer
Chocolate-manufacture,Chocolate manufacturer,Manufacturer
Cider-merchant and Dealer,"Cider merchant,Cider dealer,Dealer in cider","Merchant,Dealer"
Clasp-maker,"Clasp maker,Maker of clasps",Maker
Clay Agent and Merchant,"Clay agent,Clay merchant","Clay agent,Merchant"
Clay Labourer,Clay labourer,Clay labourer
Clergyman,Clergyman,Clergyman
Clerk (Commercial),Commercial clerk,Clerk
Clock and Watch-maker,"Clock maker,Watch maker,Maker of clocks,Maker of watches",Maker
Cloth-merchant and Salesman,"Cloth merchant,Cloth salesman,Cloth saleswoman","Merchant,Salesman,Saleswoman"
Clothes-dealer and Outfitter,"Clothes dealer,Outfitter,Dealer in clothes","Dealer,Outfitter"
Clothier,Clothier,Clothier
Coach Lace-maker and Weaver,"Coach lace maker,Coach lace weaver,Maker of coach lace","Maker,Weaver"
Coach Lamp-maker,"Coach lamp maker,Maker of coach lamps",Maker
Coach Maker (all branches),"Coach maker,Maker of coaches",Maker
"Coach, Cab, and Omnibus-owner","Coach owner,Cab owner,Omnibus owner",Owner
"Coachman, Coach-guard, and Postboy","Coachman,Coach guard,Postboy,Postgirl","Coachman,Guard,Postboy,Postgirl"
Coal and Colliery Agent and Bailiff,"Coal agent,Colliery agent,Bailiff","Agent,Bailiff"
Coal Fitter,Coal fitter,Coal fitter
"Coal Labourer, Heaver, and Porter","Coal labourer,Coal heaver,Coal porter","Coal labourer,Coal heaver,Coal porter"
Coal Merchant and Dealer,"Coal merchant,Coal dealer,Dealer in coal","Merchant,Dealer"
Coal Meter,Coal meter,Coal meter
Coal Owner,Coal owner,Owner
Cock-founder,Cock founder,Founder
Coffee House-keeper,Coffee house keeper,Keeper
Coffee-and Cocoa-roaster,"Coffee roaster,Cocoa roaster",Roaster
Coffee-dealer and Merchant,"Coffee dealer,Coffee merchant,Dealer in coffee","Dealer,Merchant"
Coke-burner and Dealer,"Coke burner,Coke dealer,Dealer in coke","Coke burner,Dealer"
Collar (Dog) Maker,"Dog collar maker,Maker of dog collars",Maker
Colonial Agent and Broker,"Colonial agent,Colonial broker","Agent,Broker"
Colour-manufacture,Colour manufacturer,Manufacturer
"Colourman, Artists'","Artists' colourman,Artists' colourwoman","Colourman,Colourwoman"
Comb-maker,"Comb maker,Maker of combs",Maker
Commission Agent and Factor,"Commission agent,Commission factor","Agent,Factor"
Compass-maker,"Compass maker,Maker of compasses",Maker
Composition-maker,"Composition maker,Maker of compositions",Maker
Cooper,Cooper,Cooper
Cooper (Back-maker),"Back maker,Maker of backs",Maker
Copper Agent,Copper agent,Agent
Copper Manufacture,Copper manufacturer,Manufacturer
Copper Merchant,Copper merchant,Merchant
Copper Plate-maker and Worker,"Copper plate maker,Copper plate worker,Maker of copper plate,Maker of copper plates","Maker,Copper plate worker"
Copper-smith,Copper smith,Smith
Copperas-manufacturer,Copperas manufacturer,Manufacturer
Coral-carver and Worker,"Coral carver,Coral worker","Carver,Worker"
Cork-cutter and Manufacturer,"Cork cutter,Cork manufacturer","Cutter,Manufacturer"
Cork-merchant,Cork merchant,Merchant
Cork-screw-maker,"Cork screw maker,Maker of cork screws",Maker
Corn Agent,Corn agent,Agent
"Corn Merchant, Dealer, and Factor","Corn merchant,Corn dealer,Corn factor,Dealer in corn","Merchant,Dealer,Factor"
Corn Meter,Corn meter,Meter
Corn-cutter (Chiropodist),"Corn cutter,Chiropodist","Cutter,Chiropadist"
Cornice-maker,"Cornice maker,Maker of cornices",Maker
Cotton Agent and Broker,"Cotton agent,Cotton broker","Agent,Broker"
Cotton Manufacture (all branches),Cotton manufacturer,Manufacturer
Cotton Merchant and Dealer,"Cotton merchant,Cotton dealer,Dealer in cotton","Merchant,Dealer"
Cotton-band-maker,"Cotton band maker,Maker of cotton bands",Maker
Courier,Courier,Courier
Cover (Table) Maker,"Table cover maker,Maker of table covers",Maker
Cover-maker,"Cover maker,Maker of covers",Maker
Coverlet-maker,"Coverlet maker,Maker of coverlets",Maker
Crape Manufacture (all branches),Crape manufacturer,Manufacturer
Crate-maker,"Crate maker,Maker of crates",Maker
Crucible and Casting-pot-maker,"Crucible maker,Casting pot maker,Maker of crucibles,Maker of casting pots",Maker
Cupper and Dentist,"Cupper,Dentist","Cupper,Dentist"
Curiosity-dealer,"Curiosity dealer,Dealer in curiosities",Dealer
Currier and Leather-seller,"Currier,Leather seller","Currier,Seller"
Curry-comb maker,"Curry comb maker,Maker of curry combs",Maker
Customs-house Agent,Customs house agent,Agent
Cutler,Cutler,Cutler
Diamond Merchant,Diamond merchant,Merchant
Diamond-setter and Worker,"Diamond setter,Diamond worker","Diamond setter,Diamond worker"
Die-engraver and Sinker,"Die engraver,Die sinker","Engraver,Die sinker"
Distiller and Rectifier,"Distiller,Rectifier","Distiller,Rectifier"
Dock Service,Dock labourer,Dock labourer
Dog-breaker and Dealer,"Dog breaker,Dog dealer,Dealer in dogs","Dog breaker,Dealer"
Draper,Draper,Draper
"Draper, Linen",Linen draper,Draper
Draughtsman,"Draughtsman,Draughtswoman","Draughtsman,Draughtswoman"
Dress-maker and Milliner,"Dress maker,Milliner,Maker of dresses","Maker,Milliner"
Dressing and Writing-case-maker,"Dressing case maker,Writing case maker,Maker of dressing cases,Maker of writing cases",Maker
Drill-master,Drill master,Drill master
Drover,Drover,Drover
Drug-broker and Merchant,"Drug broker,Drug merchant","Broker,Merchant"
Drug-grinder and Manufacturer,"Drug grinder,Drug manufacturer","Grinder,Manufacturer"
Drysalter,Drysalter,Drysalter
Dye-manufacture (all branches),Dye manufacturer,Manufacturer
"Dyer, Calenderer, and Scourer","Dyer,Calenderer,Scourer","Dyer,Calenderer,Scourer"
"Dyer, Calico and Cotton",Calico and cotton dyer,Dyer
"Dyer, Fur",Fur dyer,Dyer
"Dyer, Fustian",Fustian dyer,Dyer
"Dyer, Leather",Leather dyer,Dyer
"Dyer, Linen and Flax","Linen dyer,Flax dyer",Dyer
"Dyer, Silk",Silk dyer,Dyer
"Dyer, Wool and Woollen","Wool dyer,Wollen dyer",Dyer
"East India Agent, Broker and Merchant","East India agent,East India broker,East India merchant","Agent,Broker,Merchant"
East India Company's Service,"East India Company Soldier,East India Company Officer","Soldier,Officer"
Eating-house-keeper,Eating house keeper,Keeper
Egg-merchant and Dealer,"Egg merchant,Egg dealer,Dealer in eggs","Merchant,Dealer"
Embosser,Embosser,Embosser
Embroiderer,Embroiderer,Embroiderer
Enameller,Enameller,Enameller
Engine and Machine-maker,"Engine maker,Machine maker,Maker of engines,Maker of machines",Maker
Engine-turner,Engine turner,Turner
Engineer and Engine-worker,"Engineer,Engine worker","Engineer,Engine worker"
"Engineer, Civil",Civil engineer,Engineer
Engraver (all branches),Engraver,Engraver
Exhibition (Show) Keeper,"Exhibition keeper,Show keeper",Keeper
Eye (Artificial) maker,"Artifical eye maker,Maker of artificial eyes",Maker
Factory-worker (manufacture not specified),Factory worker,Factory worker
Fan-maker,"Fan maker,Maker of fans",Maker
Fancy Goods Manufacture,Fancy goods manufacturer,Manufacturer
Fancy Goods Warehouseman and Dealer,"Fancy goods warehouseman,Fancy goods warehousewoman,Fancy goods dealer,Dealer in fancy goods","Warehouseman,Warehousewoman,Dealer"
Farm-bailiff and Land-steward,"Farm bailiff,Land steward","Bailiff,Steward"
Farmer and Grazier,"Farmer,Grazier","Farmer,Grazier"
"Farrier, Cattle-doctor and Veterinary Surgeon","Farrier,Cattle doctor,Veterinary surgeon","Farrier,Doctor,Surgeon"
"Feather-maker, Dealer, and Dresser","Feather maker,Feather dealer,Feather dresser,Maker of feathers,Dealer in feathers","Maker,Dealer,Dresser"
Fellmonger,Fellmonger,Fellmonger
Felt-manufacture,Felt manufacturer,Manufacturer
Fence and Hurdle-maker,"Fence maker,Hurdle maker,Maker of fences,Maker of hurdles",Maker
Fender-maker,"Fender maker,Maker of fenders",Maker
Fent (Cotton) Dealer and Maker,"Fent dealer,Fent maker,Dealer in fent,Maker of fent","Dealer,Maker"
Figure and Image maker,"Figure maker,Image maker,Maker of figures,Maker of images",Maker
File-maker (all branches),"File maker,Maker of files",Maker
Filter-maker,"Filter maker,Maker of filters",Maker
Fire-iron-maker,"Fire iron maker,Maker of file iron,Maker of file irons",Maker
Fireman,Fireman,Fireman
Firework-maker,"Firework maker,Maker of fireworks",Maker
Fish Contractor,Fish contractor,Contractor
Fish-curer,Fish curer,Curer
Fish-hook-maker,"Fish hook maker,Maker of fish hooks",Maker
Fisherman and Woman,"Fisherman,Fisherwoman","Fisherman,Fisherwoman"
Fishing-rod and Tackle-maker,"Fishing rod maker,Fishing tackle maker,Maker of fishing rods,Maker of fishing tackle",Maker
Fishmonger and Dealer,"Fishmonger,Fish dealer,Dealer in fish","Fishmonger,Dealer"
Flannel Agent and Merchant,"Flannel agent,Flannel merchant","Agent,Merchant"
Flannel manufacture (all branches),Flannel manufacturer,Manufacturer
Flask (Powder) and Shot-Belt-maker,"Powder flask maker,Shot belt maker,Maker of powder flasks,Maker of shot belts",Maker
Flask-maker,"Flask maker,Maker of flasks",Maker
Flax and Linen-manufacture (all branches),"Flax manufacturer,Linen manufacturer",Manufacturer
Flax Merchant and Stapler,"Flax merchant,Flax stapler","Merchant,Stapler"
Flint-miller and Dealer,"Flint miller,Flint dealer,Dealer in flint","Miller,Dealer"
Flock-dealer and Merchant,"Flock dealer,Flock merchant,Dealer in flocks","Dealer,Merchant"
Flock-manufacture,Flock manufacturer,Manufacturer
Floor-cloth Manufacture,Floor cloth manufacturer,Manufacturer
Flour-dealer and Mealman,"Flour dealer,Mealman,Mealwoman,Dealer in flour","Dealer,Mealman,Mealwoman"
Flower (Artificial) maker,"Artificial flower maker,Maker of artificial flowers",Maker
Fork-maker,"Fork maker,Maker of forks",Maker
Founder (branch not specified),Founder,Founder
Frame-maker,"Frame maker,Maker of frames",Maker
French-polisher,French polisher,Polisher
Fringe-manufacture,Fringe manufacturer,Manufacturer
Fruit-broker and Merchant,"Fruit broker,Fruit merchant","Broker,Merchant"
Fuller,Fuller,Fuller
Furrier,Furrier,Furrier
Fustian Manufacture (all branches),Fustian manufacturer,Manufacturer
Gardener,Gardener,Gardener
Gas-fitter,Gas fitter,Gas fitter
Gas-meter-maker,"Gas meter maker,Maker of gas meters",Maker
Gas-works Service,Gas works labourer,Gas works labourer
Gauze-manufacture,Gauze manufacturer,Manufacturer
Gimp-spinner and Weaver,"Gimp spinner,Gimp weaver","Spinner,Weaver"
"Ginger-beer, Soda and Mineral-water-maker","Ginger beer maker,Soda maker,Mineral water maker,Maker of ginger beer,Maker of soda,Maker of mineral waters",Maker
Girth-web-maker and Weaver,"Girth web maker,Girth web weaver,Maker of girth web","Maker,Weaver"
Glass (Plate) maker,"Plate glass maker,Maker of plate glass",Maker
Glass and Emery-paper-maker,"Glass paper maker,Emery paper maker,Maker of glass paper,Maker of emery paper",Maker
Glass and Glass Bottle-manufacture (all branches),"Glass manufacturer,Glass bottle manufacturer",Manufacturer
Glass-merchant,Glass merchant,Merchant
Glass-painter and Stainer,"Glass painter,Glass stainer","Painter,Stainer"
Globe-maker,"Globe maker,Maker of globes",Maker
Glove (Silk) Manufacture (all branches),Silk glove manufacturer,Manufacturer
Glove-maker and Glover,"Glove maker,Glover,Maker of gloves","Maker,Glover"
Glue and Size-maker and Dealer,"Glue maker,Glue dealer,Size maker,Size dealer,Dealer in glue,Dealer in sizes,Maker of glue,Maker of sizes","Maker,Dealer"
Gold Beater's skin-maker,"Gold beater's skin maker,Maker of gold beater's skin,Maker of gold beater's skins",Maker
Gold-beater,Gold beater,Gold beater
Gold-lace-maker,"Gold lace maker,Maker of gold lace",Maker
"Government Civil Service, All other Departments","Civil service worker,Government employee,Government clerk","Civil service worker,Government employee,Government clerk"
"Government Civil Service, Customs and Excise","Customs agent,Customs officer,Exise agent,Excise officer,Exciseman,Excisewoman","Customs agent,Customs officer,Exise agent,Excise officer,Exciseman,Excisewoman"
"Government Civil Service, Post-office","Post office clerk,Post office labourer,Letter carrier,Mailman,Mailwoman","Post office clerk,Post office labourer,Letter carrier,Mailman,Mailwoman"
"Government Civil Service, Stamps and Taxes","Stamp officer,Stamp master,Tax collector,Tax assessor,Taxman,Taxwoman","Stamp officer,Stamp master,Tax collector,Tax assessor,Taxman,Taxwoman"
"Grate, Range, and Stove-maker","Grate maker,Range maker,Stove maker,Maker of grates,Maker of ranges,Maker of stoves",Maker
Grease-maker and Dealer,"Grease maker,Grease dealer,Dealer in grease,Maker of grease","Maker,Dealer"
Green-grocer and Fruiterer,"Green grocer,Fruiterer","Grocer,Fruiterer"
Grinder,Grinder,Grinder
Grindery-dealer,"Grindery dealer,Dealer in grindery",Dealer
Grocer and Tea-dealer,"Grocer,Tea dealer,Dealer in tea","Grocer,Dealer"
Groom and Hostler,"Groom,Hostler","Groom,Hostler"
Guard-chain-maker,"Guard chain maker,Maker of guard chains,Maker of guard chain",Maker
Gun (Air) Maker,"Air gun maker,Maker of air guns",Maker
Gun Flint-maker,"Gun flint maker,Maker of gun flints",Maker
Gun Implement-maker,"Gun implement maker,Maker of gun implements",Maker
Gun Powder-maker,"Gun powder maker,Maker of gun powder",Maker
Gun-barrel-maker,"Gun barrel maker,Maker of gun barrels",Maker
Gun-maker and Gun-smith,"Gun maker,Gun smith,Maker of guns","Maker,Smith"
Haberdasher and Hosier,"Haberdasher,Hosier","Haberdasher,Hosier"
Hackle-maker,"Hackle maker,Maker of hackles",Maker
Haft and Scale-maker and Turner,"Haft maker,Scale maker,Haft turner,Maker of hafts,Maker of scales","Maker,Turner"
Hair (Artist in),Hair artist,Hair artist
Hair Dealer and Merchant,"Hair dealer,Hair merchant,Dealer in hair","Dealer,Merchant"
Hair-dresser and Barber,"Hair dresser,Barber","Hair dresser,Barber"
Hair-manufacturer (all branches),Hair manufacturer,Manufacturer
Harbour and Quay-master,"Harbour master,Quay master","Harbour master,Quay master"
Hardware-man and Dealer,"Hardware man,Hardware woman,Hardware dealer,Dealer in hardware","Hardware man,Hardware woman,Dealer"
Hat and Band box-maker,"Hat maker,Band box maker,Maker of hats,Maker of band boxes",Maker
Hat-block-maker,"Hat block maker,Maker of hat blocks",Maker
Hatter and Hat-manufacturer (all branches),"Hatter,Hat manufacturer","Hatter,Manufacturer"
"Hawker, Huckster, and Pedlar","Hawker,Huckster,Pedlar","Hawker,Huckster,Pedlar"
Hay and Straw-dealer,"Hay dealer,Straw dealer,Dealer in straw",Dealer
Heald-maker,"Heald maker,Maker of healds",Maker
Hemp dealer and Merchant,"Hemp dealer,Hemp merchant,Dealer in hemp","Dealer,Merchant"
Hemp-manufacture (all branches),Hemp manufacturer,Manufacturer
Herb Distiller,Herb distiller,Distiller
Herbalist,Herbalist,Herbalist
Hinge-maker,"Hinge maker,Maker of hinges",Make
Hook and Eye-maker,"Hook maker,Eye maker,Maker of hooks,Maker of eyes",Maker
Hoop-maker,"Hoop maker,Maker of hoops",Maker
Hop-dealer and Merchant,"Hop dealer,Hop merchant,Dealer in hops","Dealer,Merchant"
Horn-turner and Worker,"Horn turner,Horn worker","Turner,Horn worker"
Horse-dealer and Trainer,"Horse dealer,Horse trainer,Dealer in horses","Dealer,Trainer"
Hose (Stocking) manufacture (all branches),"Hose manufacturer,Stocking manufacturer",Manufacturer
Hot-presser,Hot presser,Hot presser
Ice-dealer,"Ice dealer,Dealer in ice",Dealer
India-rubber and Mackintosh-manufacture,"India rubber manufacturer,Mackintosh manufacturer",Manufacturer
India-rubber-merchant,India rubber merchant,Merchant
Indigo-broker and Merchant,"Indigo broker,Indigo merchant","Broker,Merchant"
Ink-maker,"Ink maker,Maker of ink",Maker
Ink-stand-maker,"Ink stand maker,Maker of ink stands",Maker
Instrument Case-maker,"Instrument case maker,Maker of instrument cases",Maker
Instrument-maker,"Instrument maker,Maker of instruments",Maker
Insurance-agent and Broker,"Insurance agent,Insurance broker","Agent,Broker"
Iron Agent,Iron agent,Agent
Iron Box-maker,"Iron box maker,Maker of iron boxes",Maker
Iron Manufacture (all branches),Iron manufacturer,Manufacturer
Iron Master,Iron master,Iron master
"Iron Monger, Saddler's",Saddler's iron monger,Iron monger
Iron-dealer and Merchant,"Iron dealer,Iron merchant,Dealer in iron","Dealer,Merchant"
Ironmonger,Ironmonger,Ironmonger
Isinglass-maker,"Isinglass maker,Maker of isinglass",Maker
"Ivory-cutter, Worker, and Dealer","Ivory cutter,Ivory worker,Ivory dealer,Dealer in ivory","Cutter,Ivory worker,Dealer"
Jack (Bottle) maker,"Bottle jack maker,Maker of bottle jacks",Maker
Jack (Coach) Maker,"Coach jack maker,Maker of coach jacks",Maker
Jack-maker,"Jack maker,Maker of jacks",Maker
Japanner,Japanner,Japanner
Jet carver and Worker,"Jet carver,Jet worker","Carver,Jet worker"
Jewel-case-maker,"Jewel case maker,Maker of jewel cases",Maker
"Jeweller, Goldsmith, and Silversmith","Jeweller,Goldsmith,Silversmith","Jeweller,Goldsmith,Silversmith,Smith"
Keeper Light and Light-house,"Light keeper,Light house keeper",Keeper
Keeper or Head of Public Institution,"Public institution keeper,Public institution head","Keeper,Public institution head"
"Keeper, Game, Gate, and Park","Game keeper,Gate keeper,Park keeper",Keeper
"Keeper, Lunatic Asylum",Lunatic asylum keeper,Keeper
